[2024-11-17 12:48:28] Dados da tabela portal_vagas_estagio foram apagados.
[2024-11-17 12:48:31] Erro na linha 105, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 106, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 115, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 116, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 117, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 118, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 120, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 123, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 124, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 125, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 126, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 128, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 129, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 130, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 131, coluna F: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 131, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 132, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 133, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 134, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 135, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 136, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 137, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 138, coluna F: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 138, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 140, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 143, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 145, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 146, coluna F: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 146, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 149, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 150, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 151, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 154, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 155, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 156, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 157, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 158, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 159, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 160, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 161, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 162, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 163, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 164, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 165, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 166, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 167, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 168, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 169, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 170, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 171, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 172, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 173, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 174, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 175, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 176, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 177, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 178, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 179, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 180, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 181, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 182, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 183, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 184, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 185, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 186, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 187, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 188, coluna F: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 188, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 189, coluna F: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 189, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 190, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 191, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 192, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 193, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 196, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 197, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 198, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 199, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 200, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 202, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 203, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 204, coluna F: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 204, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 205, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 206, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 207, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 208, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 209, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 210, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 211, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 212, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 213, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 214, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 215, coluna G: Célula vazia, sem informação.
[2024-11-17 12:48:31] Erro na linha 216, coluna F: Célula vazia, sem informação.
